k = 99
# m=1000000, E[load]=(w/(1+w))=0.99, Kmax(sim. dels.)=2097152
#m n K freeFraction successfull unsuccessfull E[Load] k
1000000 0.018887 1 0.981113 1.00884 1.01941 0.99 99
1000000 0.022815 2 0.977185 1.01236 1.02362 0.99 99
1000000 0.031765 4 0.968235 1.01675 1.03338 0.99 99
1000000 0.036099 8 0.963901 1.01873 1.03818 0.99 99
1000000 0.057373 16 0.942627 1.0301 1.0627 0.99 99
1000000 0.078992 32 0.921008 1.04237 1.08943 0.99 99
1000000 0.109204 64 0.890795 1.06082 1.12994 0.99 99
1000000 0.151544 128 0.848448 1.08875 1.19412 0.99 99
1000000 0.208947 256 0.791024 1.13063 1.29797 0.99 99
1000000 0.288297 512 0.711613 1.20261 1.48618 0.99 99
1000000 0.39338 1024 0.606377 1.32495 1.85851 0.99 99
1000000 0.511711 2048 0.48768 1.5245 2.60108 0.99 99
1000000 0.654006 4096 0.344627 1.95261 4.72314 0.99 99
1000000 0.797999 8192 0.199271 3.00543 12.978 0.99 99
1000000 0.915031 16384 0.080891 6.60939 74.3469 0.99 99
1000000 0.976473 32768 0.019115 23.5429 950.979 0.99 99
1000000 0.989459 65536 0.004489 61.9059 6406.46 0.99 99
1000000 0.989937 131072 0.001169 99.647 15383.5 0.99 99
1000000 0.989853 262144 8.4e-05 162.083 119646 0.99 99
1000000 0.989948 524288 0 302.044 1e+06 0.99 99
1000000 0.989878 1048576 0 529.662 1e+06 0.99 99
1000000 0.989921 2097151 0 704.566 1e+06 0.99 99
