k = 20
# m=1000000, E[load]=(k/(1+k))=0.952381, Kmax(sim. dels.)=2097152
#m n K freeFraction successful-search unsuccessful-search timeavg-insertion timeavg-load k
1000000 0.006792 1 0.993208 1.00383 1.00687 1.00383 0 20
1000000 0.0098 2 0.9902 1.00561 1.00996 1.00964 0 20
1000000 0.015498 4 0.984502 1.00813 1.01585 1.01246 0 20
1000000 0.018873 8 0.981127 1.00917 1.01939 1.01391 0 20
1000000 0.025998 16 0.974002 1.01339 1.02702 1.02453 0 20
1000000 0.035584 32 0.964415 1.01877 1.03755 1.03333 0 20
1000000 0.053143 64 0.946856 1.02772 1.05764 1.04576 0 20
1000000 0.074669 128 0.925323 1.03944 1.0839 1.06818 0 20
1000000 0.098066 256 0.901921 1.05305 1.11448 1.09594 0 20
1000000 0.134799 512 0.86515 1.07679 1.16789 1.1392 0 20
1000000 0.187478 1024 0.812387 1.11494 1.257 1.21052 0 20
1000000 0.257456 2048 0.742206 1.17332 1.40642 1.32503 0 20
1000000 0.353535 4096 0.645593 1.27641 1.69942 1.54117 0 20
1000000 0.466111 8192 0.531706 1.44583 2.27096 1.94378 0 20
1000000 0.598522 16384 0.396274 1.77337 3.69122 2.81484 0 20
1000000 0.73992 32768 0.249159 2.52541 8.43024 5.22242 0 20
1000000 0.861297 65536 0.119441 4.55684 31.6281 13.563 0 20
1000000 0.932259 131072 0.040079 10.2271 170.855 41.6303 0 20
1000000 0.951406 262144 0.009862 21.2333 782.704 72.1231 0 20
1000000 0.952213 524288 0.001074 39.5602 4156.23 68.3134 0 20
1000000 0.952327 1048576 3e-05 71.7449 102158 73.6571 0 20
1000000 0.952197 2097151 2e-06 88.3361 500000 88.0783 0.952216 20
